code	producer_product_id	producer_version_id	lc	product_name_ab	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_id	product_name_it	product_name_nl	product_name_pt	product_name_ro	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_it	origin_nl	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ab	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_uz	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	lignoceric-acid_value	lignoceric-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	polyols_value	polyols_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	folates_value	folates_unit	potassium_value	potassium_unit	chloride_value	chloride_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_quantity_per_unit	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_recycling	packaging_4_quantity_per_unit	packaging_4_weight_measured	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:environmental_score_grade	off:environmental_score_score	off:environmental_score_data.missing_key_data	off:environmental_score_data.agribalyse.code	off:environmental_score_data.adjustments.origins_of_ingredients.value	off:environmental_score_data.adjustments.packaging.value	off:environmental_score_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:environmental_score_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8410000815009			es				Pate Apis Higado Cerdo 200 GRS											200 gr				Apis	xx:apis		Productos a base de carne, Carnes, Embutidos, fr:Charcuteries diverses, Paté, en:patés-de-cerdo, en:patés-de-hígado-de-cerdo	en:meats-and-their-products,en:meats,en:prepared-meats,fr:charcuteries-diverses,en:pate,en:pates-de-cerdo,en:pates-de-higado-de-cerdo	Sin gluten	en:no-gluten	España	en:spain			0																PAIE OE HIGADO DE ECERDO. : Agua, higado de cerdo 23%), grasa y carne de Cerdo, harina de maiz, sal, especias, estabilizante (E-451), azúcar, aroma, antioxidante (E-330) COnservador (E-250)											null	100g	100g			255	kcal	23.5	g	8.5	g	3	g	0.27000001072884	g			8.1700000762939	g	1.789999961853	g	0.716	g			255	kcal																																																								en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	e	19	unknown		1		-5	-15		0							App - elcoco, App - yuka, Apps, App - El CoCo
8710998424918			it					Honey		Honey								280 g		Flacone a pressione	en:squeeze-bottle				Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys	Punto Verde	en:green-dot	Italia	en:italy	OD store	od-store	0		Turchia	en:turkey				Turkey		SRG international BV- PO BOX 1490-4700BL Roosendaal- The Netherlands	srg-international-bv-po-box-1490-4700bl-roosendaal-the-netherlands	TR-06-K-059773	tr-06-k-059773							Miele									100g	100g	1384	kJ	330	kcal	0	g	0	g	82.3	g	82.3	g			0.3	g							1384	kJ																																en:unknown	en:pet-1-polyethylene-terephthalate																							en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		a	79		31008	-5	-8	0	0							App - yuka, Apps
8056304070050			it							Miele di eucalipto															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di eucalipto	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:eucalyptus-honeys			Italia	en:italy			0																												100g	100g			322	kcal	0	g	0	g	80	g	80	g			0.6	g	0.1	g	0.04	g			322	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	e	19	b	72	1	31008	-5	-15		0							App - Yuka, Apps
19502700			it							Miele di Acacia Akazienhonig															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di acacia	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:acacia-honeys			Italia	en:italy			0																												100g	100g																																																																																en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15		0							App - Yuka, Apps
3760046254788			fr					Api'Sweet																			Bio, Bio européen, FR-BIO-01	en:organic,en:eu-organic,en:fr-bio-01	France	en:france			0																												100g	100g			382	kcal	0.5	g	0.01	g	95.5	g	89.6	g			0.5	g	0.01	g	0.004	g			382	kcal																																																											unknown	unknown		unknown		1		0	-15		15							App - yuka, Apps
8001120785961			it					Miele Cast.bio Viviv.coop G400		Miele di castagno biologico								400 g		Vetro	en:glass	Coop, Vivi Verde	xx:coop,xx:vivi-verde		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di castagno	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:chestnut-honey	Biologico, Biologico UE, IT-BIO-009	en:organic,en:eu-organic,en:it-bio-009	Francia, Italia	en:france,en:italy	coop	coop	0		Italia	en:italy						Calabria, Piemonte, Toscana	calabria,piemonte,toscana									miele									100g	100g	1408	kJ	331	kcal	0	g	0	g	83	g	83	g	0	g	0	g	0.03	g	0.012	g			1408	kJ																																	en:glass																							en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	e	19	a-plus	105		31008	0	-2	0	15							App - yuka, Apps, App - Open Food Facts
8437019704148			es				Magna apis																						España	en:spain			0																												100g	100g			194	kcal	0	g	0	g	47	g	45	g			0.7	g	0	g	0	g			194	kcal																																																											unknown	unknown		unknown		1		-5	-15		0							App - Yuka, Apps
8015928000195			it							Miele italiano															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys			Italia	en:italy			0																												100g	100g			320	kcal	0	g	0	g	80	g	10	g			0	g	0	g	0	g			320	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	c	5	b	72	1	31008	-5	-15		0							App - Yuka, Apps
3305111083117			fr					Miel de guarrigue 500g Api Velay										500 g		Verre, Bocal	en:glass,en:jar	Miellerie Ardéchoise	xx:miellerie-ardechoise		"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Produits de la ruche, Produits d'élevages, Édulcorants, Miels, Miels de fleurs, Miels de garrigue"	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:flower-honeys,fr:miels-de-garrigue			France	en:france	Auchan	auchan	0		France	en:france						France	france							Miel de garrigue.										on	100g	100g																																																								en:jar	en:glass																							en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	e	19	a-plus	94		31008	4	-2	0	0							App - yuka, Apps
6273000510112			en			Hier Api sauce chilli												260g															0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15	1	0							
8410218215196			es				Judias verdes con pisto casero															Apis	xx:apis						España	en:spain			0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15		0							App - yuka, Apps, App - El CoCo
8410218216551			es				Paté suave															Apis	xx:apis						España	en:spain			0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15		0							App - Yuka, Apps
8991002125025			en			Kapal api signature Strong 200ml												1	200 ml			Kapal Api	xx:kapal-api						Indonesia	en:indonesia			0															RH-30													serving	100g			100	kcal	2	g			19	g	17	g	2	g	1	g	0.005	g	0.002	g			100	kcal																																																											unknown	unknown		unknown		1		-5	-15		0							App - macrofactor, Apps
